layer,method,auc,aoc
instance_perturbation_module.neck.Rep_n6.block.2.rbr_dense.conv,LRP-zplus,0.0,1.0
instance_perturbation_module.neck.Rep_n6.block.2.rbr_dense.conv,activation,0.0,1.0
instance_perturbation_module.neck.Rep_n6.block.2.rbr_dense.conv,random,0.0,1.0
instance_perturbation_module.neck.Rep_n5.conv1.rbr_dense.conv,GradCAM,0.0,1.0
instance_perturbation_module.neck.Rep_n5.conv1.rbr_dense.conv,Gradient,0.0,1.0
instance_perturbation_module.neck.Rep_n5.conv1.rbr_dense.conv,LRP-eps,0.0,1.0
instance_perturbation_module.neck.Rep_n5.conv1.rbr_dense.conv,LRP-gamma,0.0,1.0
instance_perturbation_module.neck.Rep_n5.conv1.rbr_dense.conv,LRP-zplus,0.0,1.0
instance_perturbation_module.neck.Rep_n5.conv1.rbr_dense.conv,activation,0.0,1.0
instance_perturbation_module.neck.Rep_n5.conv1.rbr_dense.conv,random,0.0,1.0
instance_perturbation_module.backbone.ERBlock_2.1.block.0.rbr_dense.conv,GradCAM,0.6008032336483659,0.608629122971533
instance_perturbation_module.backbone.ERBlock_2.1.block.0.rbr_dense.conv,Gradient,0.6643007632572814,0.5562411503928328
instance_perturbation_module.backbone.ERBlock_2.1.block.0.rbr_dense.conv,LRP-eps,0.5467938921978596,0.4342733157621728
instance_perturbation_module.backbone.ERBlock_2.1.block.0.rbr_dense.conv,LRP-gamma,0.4767258051068605,0.4695780437572482
instance_perturbation_module.backbone.ERBlock_2.1.block.0.rbr_dense.conv,LRP-zplus,0.5341916977286274,0.5054862476806932
instance_perturbation_module.backbone.ERBlock_2.1.block.0.rbr_dense.conv,activation,0.4720896323431799,0.4412391593426083
instance_perturbation_module.backbone.ERBlock_2.1.block.0.rbr_dense.conv,random,0.3489307692814377,0.43273928145269563
instance_perturbation_module.neck.Rep_p5.conv1.rbr_dense.conv,GradCAM,0.6638327402890484,0.6965596894913375
instance_perturbation_module.neck.Rep_p5.conv1.rbr_dense.conv,Gradient,0.585373071696731,0.5811326476708539
instance_perturbation_module.neck.Rep_p5.conv1.rbr_dense.conv,LRP-eps,0.13830212570852268,0.7808909353888456
instance_perturbation_module.neck.Rep_p5.conv1.rbr_dense.conv,LRP-gamma,0.4123727641213079,0.7130455877089387
instance_perturbation_module.neck.Rep_p5.conv1.rbr_dense.conv,LRP-zplus,0.5902099739877517,0.6414012065496382
instance_perturbation_module.neck.Rep_p5.conv1.rbr_dense.conv,activation,0.4775484284400246,0.5873249106403227
instance_perturbation_module.neck.Rep_p5.conv1.rbr_dense.conv,random,0.5194567744246932,0.7396901663807236
instance_perturbation_module.detect.reg_convs.2.block.conv,GradCAM,0.0,1.0
instance_perturbation_module.detect.reg_convs.2.block.conv,Gradient,0.0,1.0
instance_perturbation_module.detect.reg_convs.2.block.conv,LRP-eps,0.0,1.0
instance_perturbation_module.detect.reg_convs.2.block.conv,LRP-gamma,0.0,1.0
instance_perturbation_module.detect.reg_convs.2.block.conv,LRP-zplus,0.0,1.0
instance_perturbation_module.detect.reg_convs.2.block.conv,activation,0.0,1.0
instance_perturbation_module.detect.reg_convs.2.block.conv,random,0.0,1.0
instance_perturbation_module.backbone.ERBlock_6.2.cspsppf.cv3.block.conv,GradCAM,0.5273530838343233,0.7521616409983231
instance_perturbation_module.backbone.ERBlock_6.2.cspsppf.cv3.block.conv,Gradient,0.5692785163166816,0.6832085860460776
instance_perturbation_module.backbone.ERBlock_6.2.cspsppf.cv3.block.conv,LRP-eps,0.2629441849893507,0.7464444866262141
instance_perturbation_module.backbone.ERBlock_6.2.cspsppf.cv3.block.conv,LRP-gamma,0.16177852700137982,0.7198977365745654
instance_perturbation_module.backbone.ERBlock_6.2.cspsppf.cv3.block.conv,LRP-zplus,0.7336135991601466,0.5250638735505685
